Year,Condition,Time
2015,Reading_NoInt,4.16
2015,Reading_NoInt,4.35
2015,Reading_NoInt,3.6
2015,Reading_NoInt,3.9
2015,Reading_NoInt,4.22
2015,Reading_NoInt,4.31
2015,Reading_NoInt,4.58
2015,Reading_NoInt,3.93
2015,Reading_NoInt,4.48
2015,Reading_NoInt,3.56
2015,Reading_NoInt,3.1
2015,Reading_NoInt,4.11
2015,Reading_NoInt,3.17
2015,Reading_NoInt,3.85
2016,Reading_NoInt,3.48
2016,Reading_NoInt,4.36
2016,Reading_NoInt,4.59
2016,Reading_NoInt,4.22
2016,Reading_NoInt,4.15
2016,Reading_NoInt,3.74
2016,Reading_NoInt,3.73
2016,Reading_NoInt,3.33
2016,Reading_NoInt,4.46
2016,Reading_NoInt,4.42
2016,Reading_NoInt,4.33
2016,Reading_NoInt,3.55
2016,Reading_NoInt,4.61
2016,Reading_NoInt,3.93
2016,Reading_NoInt,4.05
2016,Reading_NoInt,4.15
2016,Reading_NoInt,3.8
2016,Reading_NoInt,4.2
2016,Reading_NoInt,4.4
2016,Reading_NoInt,4.04
2016,Reading_NoInt,4.31
2016,Reading_NoInt,5.06
2016,Reading_NoInt,4.3
2016,Reading_NoInt,4.08
2016,Reading_NoInt,4.33
2016,Reading_NoInt,4.2
2016,Reading_NoInt,4.27
2016,Reading_NoInt,4.22
2016,Reading_NoInt,4.87
2016,Reading_NoInt,3.58
2016,Reading_NoInt,3.63
2016,Reading_NoInt,3.83
2016,Reading_NoInt,4.31
2016,Reading_NoInt,4.13
2016,Reading_NoInt,3.85
2016,Reading_NoInt,3.96
2016,Reading_NoInt,3.38
2016,Reading_NoInt,3.73
2016,Reading_NoInt,3.61
2016,Reading_NoInt,4.2
2016,Reading_NoInt,3.73
2017,Reading_NoInt,4.77
2017,Reading_NoInt,4.69
2017,Reading_NoInt,5.22
2017,Reading_NoInt,3.82
2017,Reading_NoInt,3.7
2017,Reading_NoInt,3.61
2017,Reading_NoInt,4.67
2017,Reading_NoInt,4.21
2017,Reading_NoInt,5.15
2017,Reading_NoInt,3.78
2017,Reading_NoInt,4.26
2017,Reading_NoInt,4.82
2017,Reading_NoInt,4.33
2017,Reading_NoInt,4.5
2017,Reading_NoInt,5.58
2017,Reading_NoInt,5.03
2017,Reading_NoInt,4.15
2017,Reading_NoInt,4.24
2017,Reading_NoInt,3.93
2017,Reading_NoInt,4.2
2017,Reading_NoInt,4.59
2017,Reading_NoInt,3.56
2017,Reading_NoInt,2.83
2017,Reading_NoInt,3.69
2017,Reading_NoInt,5.98
2017,Reading_NoInt,6.2
2017,Reading_NoInt,5.7
2017,Reading_NoInt,4.5
2017,Reading_NoInt,3.9
2017,Reading_NoInt,4
2017,Reading_NoInt,4
2017,Reading_NoInt,5.1
2017,Reading_NoInt,3.79
2017,Reading_NoInt,3.59
2018,Reading_NoInt,4.09
2018,Reading_NoInt,4.55
2018,Reading_NoInt,4.2
2018,Reading_NoInt,4.2
2018,Reading_NoInt,3.4
2018,Reading_NoInt,3.9
2018,Reading_NoInt,3.1
2018,Reading_NoInt,4.8
2018,Reading_NoInt,3.81
2018,Reading_NoInt,3.7
2018,Reading_NoInt,3.02
2018,Reading_NoInt,3.34
2018,Reading_NoInt,3.86
2018,Reading_NoInt,4.04
2018,Reading_NoInt,4.28
2019,Reading_NoInt,5.68
2019,Reading_NoInt,4.02
2019,Reading_NoInt,4.52
2019,Reading_NoInt,4.46
2019,Reading_NoInt,5.67
2019,Reading_NoInt,5.44
2019,Reading_NoInt,4.92
2019,Reading_NoInt,4.43
2019,Reading_NoInt,3.64
2019,Reading_NoInt,4.32
2019,Reading_NoInt,3.47
2019,Reading_NoInt,8.16
2019,Reading_NoInt,4.49
2019,Reading_NoInt,5.31
2019,Reading_NoInt,4.73
2019,Reading_NoInt,6.11
2019,Reading_NoInt,7.06
2019,Reading_NoInt,4.43
2019,Reading_NoInt,5.01
2019,Reading_NoInt,7.35
2019,Reading_NoInt,3.22
2019,Reading_NoInt,3.66
2019,Reading_NoInt,3.42
2020,Reading_NoInt,6
2020,Reading_NoInt,4.6
2020,Reading_NoInt,3.78
2020,Reading_NoInt,3.38
2020,Reading_NoInt,4.2
2020,Reading_NoInt,4.8
2020,Reading_NoInt,5.03
2020,Reading_NoInt,5.69
2020,Reading_NoInt,4.5
2020,Reading_NoInt,4.3
2020,Reading_NoInt,4.2
2020,Reading_NoInt,5.6
2020,Reading_NoInt,4.2
2020,Reading_NoInt,3.89
2020,Reading_NoInt,5.1
2020,Reading_NoInt,4.22
2020,Reading_NoInt,4.04
2020,Reading_NoInt,4.42
2020,Reading_NoInt,4.77
2020,Reading_NoInt,3.83
2020,Reading_NoInt,5.4
2020,Reading_NoInt,2.85
2020,Reading_NoInt,2.93
2020,Reading_NoInt,3.75
2021,Reading_NoInt,5.79
2021,Reading_NoInt,5.26
2021,Reading_NoInt,5.02
2021,Reading_NoInt,4.87
2021,Reading_NoInt,4.62
2021,Reading_NoInt,5
2021,Reading_NoInt,4.96
2021,Reading_NoInt,4
2021,Reading_NoInt,4.68
2021,Reading_NoInt,6.79
2021,Reading_NoInt,4.98
2021,Reading_NoInt,5.48
2021,Reading_NoInt,5.07
2021,Reading_NoInt,4.28
2021,Reading_NoInt,4.72
2021,Reading_NoInt,4.66
2021,Reading_NoInt,5.16
2021,Reading_NoInt,7.07
2021,Reading_NoInt,4.6
2021,Reading_NoInt,4.52
2021,Reading_NoInt,3.93
2021,Reading_NoInt,4.7
2021,Reading_NoInt,3.98
2021,Reading_NoInt,3.98
2021,Reading_NoInt,4.85
2021,Reading_NoInt,3.69
2021,Reading_NoInt,4.3
2021,Reading_NoInt,4.75
2021,Reading_NoInt,4.98
2021,Reading_NoInt,5.16
2021,Reading_NoInt,4.27
2015,Naming_Int,6.76
2015,Naming_Int,7.73
2015,Naming_Int,7
2015,Naming_Int,9.03
2015,Naming_Int,9.98
2015,Naming_Int,6.51
2015,Naming_Int,11.57
2015,Naming_Int,7.33
2015,Naming_Int,9.78
2015,Naming_Int,7.86
2015,Naming_Int,10.49
2015,Naming_Int,9.17
2015,Naming_Int,7.51
2015,Naming_Int,9.92
2016,Naming_Int,8.49
2016,Naming_Int,8.5
2016,Naming_Int,8.68
2016,Naming_Int,8.26
2016,Naming_Int,7.53
2016,Naming_Int,5.53
2016,Naming_Int,7.35
2016,Naming_Int,8.9
2016,Naming_Int,8.37
2016,Naming_Int,10.2
2016,Naming_Int,9.5
2016,Naming_Int,8.09
2016,Naming_Int,9.71
2016,Naming_Int,8.63
2016,Naming_Int,6.95
2016,Naming_Int,10.93
2016,Naming_Int,10.7
2016,Naming_Int,8.1
2016,Naming_Int,8.1
2016,Naming_Int,15.06
2016,Naming_Int,11
2016,Naming_Int,8.1
2016,Naming_Int,9.37
2016,Naming_Int,10.21
2016,Naming_Int,9.54
2016,Naming_Int,8.4
2016,Naming_Int,8.26
2016,Naming_Int,8.46
2016,Naming_Int,13.65
2016,Naming_Int,6.66
2016,Naming_Int,6.76
2016,Naming_Int,10.88
2016,Naming_Int,8.73
2016,Naming_Int,8.31
2016,Naming_Int,7.71
2016,Naming_Int,8.66
2016,Naming_Int,10.61
2016,Naming_Int,6.09
2016,Naming_Int,7.51
2016,Naming_Int,9.14
2016,Naming_Int,7.6
2017,Naming_Int,10.22
2017,Naming_Int,9.82
2017,Naming_Int,9.55
2017,Naming_Int,8.15
2017,Naming_Int,12.46
2017,Naming_Int,11.1
2017,Naming_Int,6.65
2017,Naming_Int,8.23
2017,Naming_Int,7.91
2017,Naming_Int,8.31
2017,Naming_Int,9.14
2017,Naming_Int,7.7
2017,Naming_Int,7.13
