Group	Reading (no int)	Naming (int)	Naming (no int)	Reading (int)
1	4.77	10.22	5.13	4.73
1	4.69	9.82	5.85	6.62
1	5.22	9.55	4.55	4.93
1	3.82	8.15	5.46	4.13
1	3.7	12.46	5.83	4.26
1	3.61	11.1	4.96	3.32
1	4.67	6.65	4.26	3.98
2	4.21	8.23	4.87	7.1
2	5.15	7.91	6.29	6.66
2	3.78	8.31	4.58	3.92
2	4.26	9.14	5.45	8.84
3	4.82	7.7	6.22	7.36
3	4.33	7.13	5.23	6.04
3	4.5	8.01	5.41	7.83
3	5.58	12.68	5.79	4.95
3	5.03	9.21	5.75	4.9
3	4.15	10.74	6	5
3	4.24	7	4.98	4.53
4	3.93	8.42	5.18	4.25
4	4.2	16.02	7.1	4.38
4	4.59	7.08	6.23	4.06
4	3.56	9.1	5.62	4.03
4	2.83	6.29	4.03	4.15
4	3.69	9.06	6.02	5.66
4	5.98	9.11	6.89	6.92
5	6.2	17	6.3	5.7
5	5.7	12.2	8.2	5
5	4.5	9.6	7.2	5.1
5	3.9	7.8	5.4	4.5
5	4	8.5	7.4	5.2
6	4	8.3	5.69	4
6	5.1	11.5	8.2	14.56
6	3.79	5.75	4.7	4.97
6	3.59	6.86	5.45	5.16
